name,category,brand,price,rating,description
Fabbmate Casual Sports shoes White Sneakers for Women Girls White Shoes Sneakers For Women,Fashion/Footwear,Fabbmate,409.0,4.0,High-quality footwear from Flipkart: Fabbmate Casual Sports shoes White Sneakers for Women Girls White Shoes Sneakers For Women
"Firefly-04 White Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women",Fashion/Footwear,asian,797.0,4.0,"High-quality footwear from Flipkart: Firefly-04 White Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women"
"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Memory Foam Running Shoes For Women",Fashion/Footwear,Fabbmate,299.0,4.0,"High-quality footwear from Flipkart: Fabbmate Trendy Sports Shoes for Women's Running,Walking with Memory Foam Running Shoes For Women"
Training & Gym Shoes For Women,Fashion/Footwear,APIPPO,748.0,3.5,High-quality footwear from Flipkart: Training & Gym Shoes For Women
Trendy Sports Running Shoes For Women,Fashion/Footwear,Footox,449.0,3.5,High-quality footwear from Flipkart: Trendy Sports Running Shoes For Women
Fabbmate Casual Sports shoes White Sneakers for Women Girls White Shoes Sneakers For Women,Fashion/Footwear,Fabbmate,429.0,4.0,High-quality footwear from Flipkart: Fabbmate Casual Sports shoes White Sneakers for Women Girls White Shoes Sneakers For Women
"Women's Mesh Material New Grey Casual Sports Running Laceup, Light Weight Shoes Walking Shoes For Women",Fashion/Footwear,BXXY,1199.0,0.0,"High-quality footwear from Flipkart: Women's Mesh Material New Grey Casual Sports Running Laceup, Light Weight Shoes Walking Shoes For Women"
Running Shoes For Women,Fashion/Footwear,Friend's Traders,712.0,4.2,High-quality footwear from Flipkart: Running Shoes For Women
Walking Shoes For Women,Fashion/Footwear,RINDAS,398.0,4.1,High-quality footwear from Flipkart: Walking Shoes For Women
"Vokline Sports shoes,trekking shoes, Running shoes,gym shoes For Women Walking Shoes For Women",Fashion/Footwear,Vokline,299.0,4.1,"High-quality footwear from Flipkart: Vokline Sports shoes,trekking shoes, Running shoes,gym shoes For Women Walking Shoes For Women"
